epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,43263.2,0.97833,0.71978,1.27105,0.89516,0.89213,0.92638,0.71337,0.82113,0.46202,1.15747,0.0088912,0.0088912,0.0088912
58,44018.8,0.97598,0.71683,1.26849,0.89626,0.89048,0.92552,0.71489,0.82087,0.46094,1.15764,0.0088714,0.0088714,0.0088714
59,44772.9,0.98157,0.71675,1.27104,0.89579,0.89306,0.92509,0.71571,0.81788,0.45879,1.1552,0.0088516,0.0088516,0.0088516
60,45526.3,0.9779,0.72073,1.26993,0.89243,0.90091,0.9267,0.7166,0.81599,0.46086,1.15368,0.0088318,0.0088318,0.0088318
61,46280.1,0.97655,0.71647,1.26887,0.89067,0.90076,0.92588,0.71462,0.81337,0.46254,1.15139,0.008812,0.008812,0.008812
62,47034.3,0.97238,0.70894,1.26454,0.91919,0.87654,0.92614,0.71331,0.81388,0.46184,1.15083,0.0087922,0.0087922,0.0087922
63,47787.7,0.96817,0.70683,1.2625,0.91853,0.87709,0.92532,0.71355,0.81505,0.46261,1.15097,0.0087724,0.0087724,0.0087724
64,48541.2,0.96658,0.70934,1.26335,0.89544,0.89296,0.92588,0.71383,0.81311,0.46144,1.15003,0.0087526,0.0087526,0.0087526
65,49295.8,0.97063,0.70763,1.26447,0.9077,0.87479,0.92459,0.71267,0.81215,0.46229,1.14927,0.0087328,0.0087328,0.0087328
66,50051.2,0.96946,0.70788,1.26269,0.92729,0.87275,0.92927,0.71342,0.81258,0.46068,1.14955,0.008713,0.008713,0.008713
67,50805.6,0.9712,0.70694,1.26167,0.91599,0.87317,0.92681,0.71477,0.81308,0.46177,1.14955,0.0086932,0.0086932,0.0086932
68,51557.3,0.96347,0.70141,1.26028,0.91692,0.87317,0.92683,0.71465,0.8129,0.46055,1.15014,0.0086734,0.0086734,0.0086734
69,52311.6,0.96233,0.70036,1.25683,0.92941,0.85871,0.9269,0.71598,0.8121,0.46004,1.14954,0.0086536,0.0086536,0.0086536
70,53066.3,0.96402,0.69868,1.25593,0.89382,0.89261,0.92743,0.71667,0.81147,0.46142,1.14945,0.0086338,0.0086338,0.0086338
71,53821.6,0.96331,0.69922,1.25727,0.89582,0.90293,0.92803,0.71768,0.81134,0.46153,1.15013,0.008614,0.008614,0.008614
72,54577.5,0.96372,0.70096,1.25878,0.9317,0.85841,0.92842,0.71816,0.8114,0.45881,1.15061,0.0085942,0.0085942,0.0085942
